srcip,dstip,sport,dport,proto,data
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7489,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 SA"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7489,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 A"
116.132.235.204,192.168.0.106,80,7489,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 A"
116.132.235.204,192.168.0.106,80,7489,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 PA / Raw"
116.132.235.204,192.168.0.106,80,7489,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 FA"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http FA"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http FA"
119.3.178.178,192.168.0.106,21111,8122,6,"Ether / IP / TCP 119.3.178.178:21111 > 192.168.0.106:8122 A / Padding"
192.168.0.106,119.3.178.178,8122,21111,6,"Ether / IP / TCP 192.168.0.106:8122 > 119.3.178.178:21111 A"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http FA"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 SA"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 A"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 A"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 A"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 PA / Raw"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 FA"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7490,80,6,"Ether / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7490,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 A"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 SA"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 A"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 A"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 A"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 PA / Raw"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 FA"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7491,80,6,"Ether / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7491,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 A"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http FA"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 SA"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 A"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 A"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 A"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 PA / Raw"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 FA"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7493,80,6,"Ether / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7493,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 A"
192.168.0.106,192.168.0.1,60618,53,17,"Ether / IP / UDP / DNS Qry ""b'dns.msftncsi.com.'"" "
192.168.0.1,192.168.0.106,53,60618,17,"Ether / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1"" "
192.168.0.106,192.168.0.1,50337,53,17,"Ether / IP / UDP / DNS Qry ""b'dns.msftncsi.com.'"" "
192.168.0.1,192.168.0.106,53,50337,17,"Ether / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1"" "
192.168.0.106,192.168.0.1,56506,53,17,"Ether / IP / UDP / DNS Qry ""b'ipv6.msftconnecttest.com.'"" "
192.168.0.106,192.168.0.1,50464,53,17,"Ether / IP / UDP / DNS Qry ""b'www.msftconnecttest.com.'"" "
192.168.0.106,192.168.0.1,60618,53,17,"Ether / IP / UDP / DNS Qry ""b'ipv6.msftconnecttest.com.'"" "
192.168.0.1,192.168.0.106,53,56506,17,"Ether / IP / UDP / DNS Ans ""b'v6ncsi.msedge.net.'"" "
192.168.0.1,192.168.0.106,53,60618,17,"Ether / IP / UDP / DNS Ans ""b'v6ncsi.msedge.net.'"" "
192.168.0.106,192.168.0.1,50337,53,17,"Ether / IP / UDP / DNS Qry ""b'ipv6.msftconnecttest.com.'"" "
192.168.0.1,192.168.0.106,53,50464,17,"Ether / IP / UDP / DNS Ans ""b'ncsi-geo.trafficmanager.net.'"" "
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http S"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http S"
192.168.0.1,192.168.0.106,53,50337,17,"Ether / IP / UDP / DNS Ans ""b'v6ncsi.msedge.net.'"" "
104.109.128.195,192.168.0.106,80,7495,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 SA"
104.109.128.195,192.168.0.106,80,7494,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 SA"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http A"
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http A"
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http PA / Raw"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http PA / Raw"
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
104.109.128.195,192.168.0.106,80,7495,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 A"
104.109.128.195,192.168.0.106,80,7495,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 PA / Raw"
104.109.128.195,192.168.0.106,80,7495,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 FA"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http A"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http FA"
104.109.128.195,192.168.0.106,80,7494,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 A"
104.109.128.195,192.168.0.106,80,7494,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 PA / Raw"
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http FA"
104.109.128.195,192.168.0.106,80,7494,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 FA"
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http A"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 SA"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 A"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 A"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 PA / Raw"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 FA"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7496,80,6,"Ether / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7496,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 A"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 SA"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 A"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 A"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 A"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 PA / Raw"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 FA"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7497,80,6,"Ether / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7497,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 A"
192.168.0.106,20.198.162.78,1025,443,6,"Ether / IP / TCP 192.168.0.106:1025 > 20.198.162.78:https PA / Raw"
192.168.0.106,104.109.128.195,7495,80,6,"Ether / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http FA"
192.168.0.106,104.109.128.195,7494,80,6,"Ether / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http FA"
20.198.162.78,192.168.0.106,443,1025,6,"Ether / IP / TCP 20.198.162.78:https > 192.168.0.106:1025 PA / Raw"
192.168.0.106,20.198.162.78,1025,443,6,"Ether / IP / TCP 192.168.0.106:1025 > 20.198.162.78:https A"
104.109.128.195,192.168.0.106,80,7494,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 R"
104.109.128.195,192.168.0.106,80,7495,6,"Ether / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 R"
192.168.0.106,116.132.235.204,7489,80,6,"Ether / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http FA"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 SA"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 A"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 A"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 A"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 PA / Raw"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 FA"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7499,80,6,"Ether / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7499,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 A"
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
192.168.0.106,110.242.68.3,7500,80,6,"Ether / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http S"
110.242.68.3,192.168.0.106,80,7500,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 SA"
192.168.0.106,110.242.68.3,7500,80,6,"Ether / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http A"
192.168.0.106,110.242.68.3,7500,80,6,"Ether / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http FA"
110.242.68.3,192.168.0.106,80,7500,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 A"
110.242.68.3,192.168.0.106,80,7500,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 FA"
192.168.0.106,110.242.68.3,7500,80,6,"Ether / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http A"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 SA"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 A"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 A"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 A"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 PA / Raw"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 FA"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,7501,80,6,"Ether / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,7501,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 A"
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
192.168.0.106,116.132.235.204,7503,80,6,"Ether / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,7503,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 SA"
192.168.0.106,116.132.235.204,7503,80,6,"Ether / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http A"
