data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https ',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https ',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https A / Ra',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https ',2,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https ',2,,
b'her / IP / TCP 192.168.0.106:10872 > 111.206.209.249:https F',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 A / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 A / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 A / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 A / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 PA / Ra',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 F',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10870 ',5,,
b'her / IP / TCP 192.168.0.106:10873 > 110.242.68.3:http ',6,,
b'her / IP / TCP 192.168.0.106:10873 > 110.242.68.3:http ',6,,
b'her / IP / TCP 192.168.0.106:10873 > 110.242.68.3:http F',6,,
b'her / IP / TCP 192.168.0.106:10873 > 110.242.68.3:http ',6,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 S',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 ',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 PA / Ra',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 ',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 ',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 PA / Ra',7,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 PA / Ra',8,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 F',8,,
b'her / IP / TCP 111.206.209.249:https > 192.168.0.106:10872 ',8,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:10873 S',9,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:10873 ',9,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:10873 F',9,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 ',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 A / Ra',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 ',10,,
b'her / IP / TCP 192.168.0.106:10870 > 59.38.123.207:45902 F',11,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 A / Ra',11,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 ',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',12,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',12,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',12,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http ',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http ',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http PA / Ra',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http A / Ra',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http A / Ra',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http PA / Ra',13,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:10874 > 116.132.235.228:http F',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 S',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 PA / Ra',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 F',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10874 ',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http ',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http ',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http PA / Ra',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http A / Ra',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http A / Ra',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http PA / Ra',16,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http ',17,,
b'her / IP / TCP 192.168.0.106:10875 > 116.132.235.228:http F',17,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 S',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 PA / Ra',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 F',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10875 ',19,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 PA / Ra',19,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 PA / Ra',19,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 ',19,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 ',19,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 PA / Ra',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 A / Paddin',20,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 A / Paddin',20,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 PA / Ra',20,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 PA / Ra',20,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 PA / Ra',20,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 A / Paddin',20,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http ',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:10876 > 116.132.235.228:http F',22,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 S',23,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 ',23,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 ',23,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 ',23,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 PA / Ra',23,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10876 F',23,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',24,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',24,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',24,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http ',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http ',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http PA / Ra',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http A / Ra',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http A / Ra',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http PA / Ra',25,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http ',26,,
b'her / IP / TCP 192.168.0.106:10877 > 116.132.235.228:http F',26,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 S',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 ',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 ',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 ',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 PA / Ra',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 F',27,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10877 ',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http ',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http ',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http PA / Ra',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http A / Ra',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http A / Ra',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http PA / Ra',28,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http F',29,,
b'her / IP / TCP 192.168.0.106:10878 > 116.132.235.228:http ',29,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 S',30,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 ',30,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 ',30,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 PA / Ra',30,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 F',30,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10878 ',30,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http ',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http ',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http PA / Ra',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http A / Ra',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http A / Ra',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http PA / Ra',31,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http ',32,,
b'her / IP / TCP 192.168.0.106:10879 > 116.132.235.228:http F',32,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 S',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 ',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 ',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 ',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 PA / Ra',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 F',33,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10879 ',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http ',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http ',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http PA / Ra',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http A / Ra',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http A / Ra',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http PA / Ra',34,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http ',35,,
b'her / IP / TCP 192.168.0.106:10880 > 116.132.235.228:http F',35,,
