srcip,dstip,sport,dport,proto,data
58.223.1.234,192.168.0.106,8080,3571,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:3571 A / Padding"
58.223.1.234,192.168.0.106,8080,3571,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:3571 A / Padding"
58.223.1.234,192.168.0.106,8080,3571,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:3571 PA / Raw"
58.223.1.234,192.168.0.106,8080,3571,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:3571 FA"
192.168.0.106,58.223.1.234,3571,8080,6,"Ether / IP / TCP 192.168.0.106:3571 > 58.223.1.234:8080 RA"
192.168.0.103,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_sleep-proxy._udp.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Qry ""b'_sleep-proxy._udp.local.'"" "
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 SA"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http PA / Raw"
192.168.0.103,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=7F:AE:68:13:0B:8B', b'rpVr=440.9', b'rpAD=8df32772270f']"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Ans ""[b'rpBA=7F:AE:68:13:0B:8B', b'rpVr=440.9', b'rpAD=8df32772270f']"" "
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 A"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 A"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 A"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 PA / Raw"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 FA"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,3580,80,6,"Ether / IP / TCP 192.168.0.106:3580 > 116.132.235.228:http FA"
116.132.235.228,192.168.0.106,80,3580,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3580 A"
157.255.191.89,192.168.0.106,8080,14800,6,"Ether / IP / TCP 157.255.191.89:8080 > 192.168.0.106:14800 PA / Raw"
192.168.0.106,157.255.191.89,14800,8080,6,"Ether / IP / TCP 192.168.0.106:14800 > 157.255.191.89:8080 PA / Raw"
157.255.191.89,192.168.0.106,8080,14800,6,"Ether / IP / TCP 157.255.191.89:8080 > 192.168.0.106:14800 PA / Raw"
192.168.0.106,157.255.191.89,14800,8080,6,"Ether / IP / TCP 192.168.0.106:14800 > 157.255.191.89:8080 A"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,3581,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3581 SA"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,3581,80,6,"Ether / IP / TCP 192.168.0.106:3581 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,3581,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:3581 A"
