data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:14698 > 116.132.235.228:http F',1,,
b'her / IP / TCP 192.168.0.106:14698 > 116.132.235.228:http F',1,,
b'her / IP / TCP 192.168.0.106:14698 > 116.132.235.228:http F',1,,
b'her / IP / TCP 192.168.0.106:14698 > 116.132.235.228:http R',1,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http ',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http ',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http PA / Ra',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A / Ra',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A / Ra',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http PA / Ra',2,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http F',3,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 S',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 ',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 ',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 ',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 PA / Ra',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 F',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 ',5,,
b'her / IP / TCP 192.168.0.106:8923 > 116.132.235.228:http F',5,,
b'her / IP / TCP 192.168.0.106:8923 > 116.132.235.228:http R',5,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http ',7,,
