data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:6886 > 110.42.6.25:https F',1,,
b'her / IP / TCP 192.168.0.106:6886 > 110.42.6.25:https A / Ra',1,,
b'her / IP / TCP 192.168.0.106:7129 > 116.132.235.228:http F',2,,
b'her / IP / TCP 192.168.0.106:7129 > 116.132.235.228:http F',2,,
b'her / IP / TCP 192.168.0.106:7127 > 116.132.235.228:http F',3,,
b'her / IP / TCP 192.168.0.106:7127 > 116.132.235.228:http F',3,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http A / Ra',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http A / Ra',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http ',5,,
b'her / IP / TCP 192.168.0.106:7135 > 116.132.235.228:http F',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 S',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 ',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 ',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 ',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 PA / Ra',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 F',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7135 ',7,,
b'her / IP / TCP 192.168.0.106:7111 > 116.132.235.228:http F',7,,
b'her / IP / TCP 192.168.0.106:7111 > 116.132.235.228:http R',7,,
b'her / IP / TCP 192.168.0.106:7103 > 123.6.78.67:8080 F',8,,
b'her / IP / TCP 192.168.0.106:7103 > 123.6.78.67:8080 R',8,,
b'her / IP / TCP 192.168.0.106:7115 > 116.132.235.228:http F',9,,
b'her / IP / TCP 192.168.0.106:7115 > 116.132.235.228:http R',9,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http A / Ra',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http A / Ra',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:7136 > 116.132.235.228:http F',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7136 S',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7136 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7136 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7136 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:7136 PA / Ra',12,,
