data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 ',1,,
b'her / IP / TCP 60.29.237.214:14000 > 192.168.0.106:4429 PA / Ra',2,,
b'her / IP / TCP 192.168.0.106:4616 > 13.107.42.12:https PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4616 > 13.107.42.12:https PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4616 > 13.107.42.12:https ',3,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A / Ra',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A / Ra',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http ',5,,
b'her / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http F',5,,
b'her / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 A / Paddin',6,,
b'her / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 A / Paddin',6,,
b'her / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 PA / Ra',6,,
b'her / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 PA / Ra',6,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 S',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 ',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 ',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 ',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 PA / Ra',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 F',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 ',8,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',8,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',8,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',8,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',8,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',8,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http ',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http ',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:8456 > 116.132.235.228:http F',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 S',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 PA / Ra',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 F',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8456 ',12,,
"b'her / IP / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",12,,
"b'her / IP / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",12,,
"b'her / IP / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",12,,
"b'her / IP / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",12,,
"b'her / IP / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",12,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",13,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",13,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",13,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",13,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_companion-link._tcp.local.\'""'",13,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http PA / Ra',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http A / Ra',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http A / Ra',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http PA / Ra',14,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http ',15,,
b'her / IP / TCP 192.168.0.106:8457 > 116.132.235.228:http F',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 S',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 PA / Ra',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 F',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8457 ',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http ',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http ',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http PA / Ra',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http A / Ra',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http A / Ra',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http PA / Ra',17,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http F',18,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http ',18,,
b'her / IP / TCP 192.168.0.106:8458 > 116.132.235.228:http F',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 S',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 ',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 ',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 ',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 PA / Ra',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 F',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 ',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8458 ',20,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:8459 > 116.132.235.228:http PA / Ra',21,,
