data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 ',1,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 A / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 F',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 A / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10932 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',6,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 A / Ra',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 ',8,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 ',8,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 ',8,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 F',8,,
b'her / IP / TCP 192.168.0.106:10932 > 59.38.123.207:45902 F',8,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http ',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http ',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 192.168.0.106:10933 > 116.132.235.228:http F',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 S',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 ',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 PA / Ra',11,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10933 F',11,,
b'her / IP / TCP 52.108.46.20:https > 192.168.0.106:1285 PA / Ra',12,,
b'her / IP / TCP 52.108.46.20:https > 192.168.0.106:1285 PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:1285 > 52.108.46.20:https ',13,,
b'her / IP / TCP 192.168.0.106:1285 > 52.108.46.20:https ',13,,
b'her / IP / TCP 192.168.0.106:10610 > 120.46.209.149:https A / Ra',14,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http ',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http ',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http PA / Ra',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http A / Ra',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http A / Ra',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http PA / Ra',15,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http ',16,,
b'her / IP / TCP 192.168.0.106:10934 > 116.132.235.228:http F',16,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:10610 ',17,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10934 S',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10934 ',18,,
