data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http ',2,,
b'her / IP / TCP 192.168.0.106:8717 > 116.132.235.204:http F',2,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 S',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 PA / Ra',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 F',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8717 ',4,,
b'her / IP / TCP 192.168.0.106:2261 > 3.221.215.84:https PA / Ra',4,,
b'her / IP / TCP 3.221.215.84:https > 192.168.0.106:2261 A / Paddin',5,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http ',7,,
b'her / IP / TCP 192.168.0.106:8718 > 116.132.235.204:http F',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8718 S',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8718 ',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8718 ',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:8718 ',8,,
