srcip,dstip,sport,dport,proto,data
192.168.0.106,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_microsoft_mcc._tcp.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Qry ""b'_microsoft_mcc._tcp.local.'"" "
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A / Raw"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 PA / Raw"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 PA / Raw"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A / Raw"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 PA / Raw"
192.168.0.106,59.38.123.207,9099,45902,6,"Ether / IP / TCP 192.168.0.106:9099 > 59.38.123.207:45902 A"
192.168.0.106,59.38.123.207,9099,45902,6,"Ether / IP / TCP 192.168.0.106:9099 > 59.38.123.207:45902 A"
192.168.0.106,59.38.123.207,9099,45902,6,"Ether / IP / TCP 192.168.0.106:9099 > 59.38.123.207:45902 A"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A / Raw"
192.168.0.106,59.38.123.207,9099,45902,6,"Ether / IP / TCP 192.168.0.106:9099 > 59.38.123.207:45902 A"
192.168.0.106,59.38.123.207,9099,45902,6,"Ether / IP / TCP 192.168.0.106:9099 > 59.38.123.207:45902 PA / Raw"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 A"
59.38.123.207,192.168.0.106,45902,9099,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9099 PA / Raw"
