srcip,dstip,sport,dport,proto,data
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 SA"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 A"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 A"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 A"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 PA / Raw"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 FA"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6965,80,6,"Ether / IP / TCP 192.168.0.106:6965 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6965,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6965 A"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 SA"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 A"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 A"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 A"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 PA / Raw"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 FA"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6966,80,6,"Ether / IP / TCP 192.168.0.106:6966 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6966,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6966 A"
192.168.0.106,110.242.68.3,6903,80,6,"Ether / IP / TCP 192.168.0.106:6903 > 110.242.68.3:http RA"
119.3.178.178,192.168.0.106,21111,8122,6,"Ether / IP / TCP 119.3.178.178:21111 > 192.168.0.106:8122 A / Padding"
192.168.0.106,119.3.178.178,8122,21111,6,"Ether / IP / TCP 192.168.0.106:8122 > 119.3.178.178:21111 A"
192.168.0.106,110.242.68.3,6962,80,6,"Ether / IP / TCP 192.168.0.106:6962 > 110.242.68.3:http FA"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 SA"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 A"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 A"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 A"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 PA / Raw"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 FA"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6967,80,6,"Ether / IP / TCP 192.168.0.106:6967 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6967,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6967 A"
192.168.0.106,116.132.235.204,6968,80,6,"Ether / IP / TCP 192.168.0.106:6968 > 116.132.235.204:http S"
