srcip,dstip,sport,dport,proto,data
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
192.168.1.116,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'WHS_527609.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Qry ""b'WHS_527609.local.'"" "
0,0,0,0,0,"Ether / IPv6 / UDP / DNS Ans ""fe80::51be:5405:4d6a:bfb3"" "
0,0,0,0,0,"Ether / IPv6 / UDP fe80::51be:5405:4d6a:bfb3:59818 > ff02::1:3:llmnr / LLMNRQuery who has 'WHS_527609.'"
192.168.1.116,224.0.0.252,59818,5355,17,"Ether / IP / UDP 192.168.1.116:59818 > 224.0.0.252:llmnr / LLMNRQuery who has 'WHS_527609.'"
192.168.1.116,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""fe80::51be:5405:4d6a:bfb3"" "
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A"
192.168.1.1,255.255.255.255,1024,5001,17,"Ether / IP / UDP 192.168.1.1:1024 > 255.255.255.255:5001 / Raw"
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
192.168.1.116,13.107.21.239,13819,443,6,"Ether / IP / TCP 192.168.1.116:13819 > 13.107.21.239:https A / Raw"
13.107.21.239,192.168.1.116,443,13819,6,"Ether / IP / TCP 13.107.21.239:https > 192.168.1.116:13819 A"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
