data,flowmember,label,classes
b'her / IP / UDP 106.55.58.216:8000 > 192.168.1.116:4022 / Ra',1,,
b'her / IP / UDP 106.55.58.216:8000 > 192.168.1.116:4022 / Ra',1,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http ',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',2,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http ',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',3,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http ',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http ',4,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',5,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Ra',5,,
b'her / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http ',5,,
