data,flowmember,label,classes
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / TCP 182.61.200.166:https > 192.168.1.116:6193 PA / Ra',2,,
b'her / IP / TCP 182.61.200.166:https > 192.168.1.116:6193 F',2,,
b'her / IP / TCP 182.61.200.166:https > 192.168.1.116:6193 F',2,,
b'her / IP / TCP 192.168.1.116:6193 > 182.61.200.166:https ',3,,
b'her / IP / TCP 192.168.1.116:6193 > 182.61.200.166:https ',3,,
b'her / IP / TCP 192.168.1.116:6193 > 182.61.200.166:https F',3,,
b'her / IP / TCP 192.168.1.116:6193 > 182.61.200.166:https R',3,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http ',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',4,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http ',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',5,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http ',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http ',6,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http ',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',7,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http A / Ra',8,,
b'her / IP / TCP 192.168.1.116:3299 > 203.119.169.16:http PA / Ra',8,,
