data,flowmember,label,classes
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:10821 ',1,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:10821 F',1,,
b'her / IP / TCP 192.168.0.106:10821 > 110.242.68.3:http ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 A / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 A / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 A / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 F',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 A / Ra',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10820 A / Paddin',5,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 A / Ra',7,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:10820 > 59.38.123.207:45902 F',7,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',8,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',8,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 ',8,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',9,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',9,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',9,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',9,,
"b'her / IP / UDP / DNS Qry ""b\'static-pcs-sdk-server.alibaba.com.\'""'",10,,
"b'her / IP / UDP / DNS Ans ""b\'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.\'""'",11,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http ',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http ',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http A / Ra',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http A / Ra',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http ',13,,
b'her / IP / TCP 192.168.0.106:10822 > 116.132.235.228:http F',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 S',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 ',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 ',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 ',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 PA / Ra',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 F',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:10822 ',15,,
b'her / IP / TCP 52.108.46.20:https > 192.168.0.106:1285 PA / Ra',15,,
b'her / IP / TCP 192.168.0.106:1285 > 52.108.46.20:https ',16,,
b'her / IP / TCP 192.168.0.106:10672 > 59.38.123.207:45902 A / Ra',17,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10672 ',18,,
b'her / IP / TCP 192.168.0.106:10823 > 116.132.235.228:http ',19,,
