srcip,dstip,sport,dport,proto,data
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A"
192.168.0.106,110.242.68.3,10997,80,6,"Ether / IP / TCP 192.168.0.106:10997 > 110.242.68.3:http S"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A / Raw"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 PA / Raw"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A / Raw"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 PA / Raw"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 A / Raw"
192.168.0.106,59.38.123.207,10996,45902,6,"Ether / IP / TCP 192.168.0.106:10996 > 59.38.123.207:45902 A"
59.38.123.207,192.168.0.106,45902,10996,6,"Ether / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10996 PA / Raw"
192.168.0.106,59.38.123.207,10996,45902,6,"Ether / IP / TCP 192.168.0.106:10996 > 59.38.123.207:45902 A"
192.168.0.106,59.38.123.207,10996,45902,6,"Ether / IP / TCP 192.168.0.106:10996 > 59.38.123.207:45902 PA / Raw"
110.242.68.3,192.168.0.106,80,10997,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:10997 SA"
192.168.0.106,110.242.68.3,10997,80,6,"Ether / IP / TCP 192.168.0.106:10997 > 110.242.68.3:http A"
192.168.0.106,110.242.68.3,10997,80,6,"Ether / IP / TCP 192.168.0.106:10997 > 110.242.68.3:http FA"
