srcip,dstip,sport,dport,proto,data
192.168.0.106,60.29.237.214,4429,14000,6,"Ether / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 PA / Raw"
60.29.237.214,192.168.0.106,14000,4429,6,"Ether / IP / TCP 60.29.237.214:14000 > 192.168.0.106:4429 PA / Raw"
192.168.0.106,60.29.237.214,4429,14000,6,"Ether / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 A"
192.168.0.106,13.107.42.12,4616,443,6,"Ether / IP / TCP 192.168.0.106:4616 > 13.107.42.12:https PA / Raw"
192.168.0.106,13.107.42.12,4616,443,6,"Ether / IP / TCP 192.168.0.106:4616 > 13.107.42.12:https PA / Raw"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http S"
13.107.42.12,192.168.0.106,443,4616,6,"Ether / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 A / Padding"
13.107.42.12,192.168.0.106,443,4616,6,"Ether / IP / TCP 13.107.42.12:https > 192.168.0.106:4616 A / Padding"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 SA"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 A"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 A"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 A"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 PA / Raw"
116.132.235.228,192.168.0.106,80,8455,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:8455 FA"
192.168.0.106,116.132.235.228,8455,80,6,"Ether / IP / TCP 192.168.0.106:8455 > 116.132.235.228:http A"
