srcip,dstip,sport,dport,proto,data
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 A / Raw"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 A / Raw"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 A / Raw"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 A / Raw"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 FPA / Raw"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 A / Padding"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 PA / Raw"
58.223.1.234,192.168.0.106,8080,7962,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7962 FA"
192.168.0.106,58.223.1.234,7962,8080,6,"Ether / IP / TCP 192.168.0.106:7962 > 58.223.1.234:8080 RA"
192.168.0.106,221.195.216.43,7822,443,6,"Ether / IP / TCP 192.168.0.106:7822 > 221.195.216.43:https A / Raw"
221.195.216.43,192.168.0.106,443,7822,6,"Ether / IP / TCP 221.195.216.43:https > 192.168.0.106:7822 A"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 SA"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 A"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 A"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 A"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 PA / Raw"
116.132.235.228,192.168.0.106,80,7965,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7965 FA"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 SA"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 A"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 A"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 A"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 PA / Raw"
116.132.235.228,192.168.0.106,80,7966,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7966 FA"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7965,80,6,"Ether / IP / TCP 192.168.0.106:7965 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7966,80,6,"Ether / IP / TCP 192.168.0.106:7966 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 SA"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 A"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 A"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 A"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 PA / Raw"
116.132.235.228,192.168.0.106,80,7967,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:7967 FA"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,7967,80,6,"Ether / IP / TCP 192.168.0.106:7967 > 116.132.235.228:http FA"
192.168.0.106,110.242.68.3,7968,80,6,"Ether / IP / TCP 192.168.0.106:7968 > 110.242.68.3:http S"
110.242.68.3,192.168.0.106,80,7968,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:7968 SA"
192.168.0.106,110.242.68.3,7968,80,6,"Ether / IP / TCP 192.168.0.106:7968 > 110.242.68.3:http A"
