data,flowmember,label,classes
b'her / IP / TCP 116.130.230.27:https > 192.168.0.106:4167 PA / Ra',1,,
b'her / IP / TCP 116.130.230.27:https > 192.168.0.106:4167 PA / Ra',1,,
b'her / IP / TCP 116.130.230.27:https > 192.168.0.106:4167 PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:4167 > 116.130.230.27:https ',2,,
b'her / IP / TCP 192.168.0.106:4167 > 116.130.230.27:https PA / Ra',2,,
b'her / IP / TCP 192.168.0.106:4167 > 116.130.230.27:https ',2,,
b'her / IP / TCP 192.168.0.106:4167 > 116.130.230.27:https ',2,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https ',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https ',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https ',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https ',3,,
b'her / IP / TCP 192.168.0.106:4426 > 116.130.224.119:https ',4,,
b'her / IP / TCP 116.130.224.119:https > 192.168.0.106:4426 PA / Ra',4,,
b'her / IP / TCP 116.130.224.119:https > 192.168.0.106:4426 PA / Ra',4,,
b'her / IP / TCP 116.130.224.119:https > 192.168.0.106:4426 PA / Ra',4,,
b'her / IP / TCP 116.130.224.119:https > 192.168.0.106:4426 PA / Ra',4,,
b'her / IP / TCP 116.130.224.119:https > 192.168.0.106:4426 PA / Ra',4,,
b'her / IP / UDP 192.168.0.106:52071 > 239.255.255.250:ssdp / Ra',5,,
"b'her / IP / UDP / DNS Qry ""b\'static-pcs-sdk-server.alibaba.com.\'""'",6,,
"b'her / IP / UDP / DNS Qry ""b\'self.events.data.microsoft.com.\'""'",6,,
"b'her / IP / UDP / DNS Ans ""b\'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.\'""'",7,,
"b'her / IP / UDP / DNS Ans ""b\'self-events-data.trafficmanager.net.\'""'",7,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http ',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http ',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http PA / Ra',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http A / Ra',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http A / Ra',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http PA / Ra',8,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http ',9,,
b'her / IP / TCP 192.168.0.106:6227 > 116.132.235.228:http F',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 S',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 ',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 ',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 ',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 PA / Ra',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 F',10,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6227 ',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:4323 PA / Ra',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:4323 PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:4323 > 59.38.123.207:45902 ',12,,
b'her / IP / TCP 192.168.0.106:4323 > 59.38.123.207:45902 ',12,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http ',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http ',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http PA / Ra',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http A / Ra',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http A / Ra',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http PA / Ra',13,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.228:http R',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 S',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 ',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 PA / Ra',15,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6228 F',15,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http ',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http ',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http PA / Ra',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http A / Ra',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http A / Ra',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http PA / Ra',16,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http F',17,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http ',17,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.228:http F',17,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 S',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 ',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 PA / Ra',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 F',18,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 ',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:6229 ',19,,
