data,flowmember,label,classes
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 A / Paddin',1,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 PA / Ra',2,,
b'her / IP / TCP 220.202.152.178:8080 > 192.168.0.106:14414 F',2,,
b'her / IP / TCP 192.168.0.106:14414 > 220.202.152.178:8080 A / Ra',3,,
b'her / IP / TCP 192.168.0.106:14414 > 220.202.152.178:8080 A / Ra',3,,
b'her / IP / TCP 192.168.0.106:14414 > 220.202.152.178:8080 FPA / Ra',3,,
b'her / IP / TCP 192.168.0.106:14414 > 220.202.152.178:8080 R',3,,
b'her / IP / TCP 13.107.42.16:https > 192.168.0.106:14287 R',4,,
b'her / IP / TCP 192.168.0.106:14405 > 157.148.48.247:http F',5,,
b'her / IP / TCP 192.168.0.106:14405 > 157.148.48.247:http R',5,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:14419 > 116.132.235.228:http F',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14419 S',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:14419 ',8,,
