data,flowmember,label,classes
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 PA / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 F',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9875 ',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9860 PA / Ra',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9860 ',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9860 A / Paddin',4,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:9860 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 ',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 PA / Ra',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 PA / Ra',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 A / Ra',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 PA / Ra',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 ',5,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 F',6,,
b'her / IP / TCP 192.168.0.106:9875 > 59.38.123.207:45902 F',6,,
b'her / IP / TCP 192.168.0.106:9860 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:9860 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:9860 > 59.38.123.207:45902 A / Ra',7,,
b'her / IP / TCP 192.168.0.106:9860 > 59.38.123.207:45902 PA / Ra',7,,
