data,flowmember,label,classes
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 PA / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 F',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11229 ',3,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 ',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 ',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 A / Ra',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 ',5,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 F',5,,
b'her / IP / TCP 192.168.0.106:11229 > 59.38.123.207:45902 ',5,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',6,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',6,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 A / Paddin',6,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10292 PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:10292 > 59.38.123.207:45902 ',7,,
b'her / IP / TCP 192.168.0.106:11224 > 110.242.68.3:http F',8,,
b'her / IP / TCP 192.168.0.106:11224 > 110.242.68.3:http F',8,,
b'her / IP / TCP 192.168.0.106:11224 > 110.242.68.3:http F',8,,
b'her / IP / TCP 192.168.0.106:11224 > 110.242.68.3:http F',8,,
b'her / IP / TCP 192.168.0.106:11224 > 110.242.68.3:http R',8,,
b'her / IP / TCP 192.168.0.106:10785 > 59.38.123.207:45902 A / Ra',9,,
b'her / IP / TCP 192.168.0.106:10785 > 59.38.123.207:45902 PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:10785 > 59.38.123.207:45902 PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:10785 > 59.38.123.207:45902 ',9,,
b'her / IP / TCP 192.168.0.106:10746 > 59.38.123.207:45902 A / Ra',10,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10785 ',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10785 A / Paddin',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10785 A / Paddin',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10785 PA / Ra',11,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10746 ',12,,
b'her / IP / TCP 192.168.0.106:11186 > 116.132.235.228:http R',13,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http ',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http PA / Ra',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http A / Ra',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http A / Ra',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http PA / Ra',14,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http ',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http F',15,,
b'her / IP / TCP 192.168.0.106:11231 > 116.132.235.228:http R',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 S',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 ',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 PA / Ra',16,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:11231 F',16,,
b'her / IP / TCP 192.168.0.106:11187 > 116.132.235.228:http R',17,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 ',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 ',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:11233 > 59.38.123.207:45902 ',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11233 S',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11233 ',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11233 ',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11233 PA / Ra',19,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:11233 PA / Ra',19,,
b'her / IP / TCP 192.168.0.106:11196 > 116.132.235.228:http F',20,,
b'her / IP / TCP 192.168.0.106:11196 > 116.132.235.228:http R',20,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http ',22,,
b'her / IP / TCP 192.168.0.106:11234 > 116.132.235.228:http F',22,,
