srcip,dstip,sport,dport,proto,data
192.168.0.106,116.132.235.228,14698,80,6,"Ether / IP / TCP 192.168.0.106:14698 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 SA"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 A"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 A"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 A"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 PA / Raw"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 FA"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14702,80,6,"Ether / IP / TCP 192.168.0.106:14702 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,8923,80,6,"Ether / IP / TCP 192.168.0.106:8923 > 116.132.235.228:http FA"
116.132.235.228,192.168.0.106,80,14702,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14702 A"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,14703,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14703 SA"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14703,80,6,"Ether / IP / TCP 192.168.0.106:14703 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,14703,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14703 A"
116.132.235.228,192.168.0.106,80,14703,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14703 A"
116.132.235.228,192.168.0.106,80,14703,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14703 A"
116.132.235.228,192.168.0.106,80,14703,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14703 PA / Raw"
