srcip,dstip,sport,dport,proto,data
192.168.180.164,210.22.155.34,14032,8080,6,"Ether / IP / TCP 192.168.180.164:14032 > 210.22.155.34:8080 FA"
210.22.155.34,192.168.180.164,8080,14044,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14044 A"
210.22.155.34,192.168.180.164,8080,14044,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14044 PA / Raw"
210.22.155.34,192.168.180.164,8080,14044,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14044 FA"
192.168.180.164,210.22.155.34,14044,8080,6,"Ether / IP / TCP 192.168.180.164:14044 > 210.22.155.34:8080 RA"
210.22.155.34,192.168.180.164,8080,14042,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14042 A"
210.22.155.34,192.168.180.164,8080,14042,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14042 A"
210.22.155.34,192.168.180.164,8080,14042,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14042 PA / Raw"
210.22.155.34,192.168.180.164,8080,14042,6,"Ether / IP / TCP 210.22.155.34:8080 > 192.168.180.164:14042 FA"
192.168.180.164,210.22.155.34,14042,8080,6,"Ether / IP / TCP 192.168.180.164:14042 > 210.22.155.34:8080 RA"
192.168.180.164,192.168.180.229,62825,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.180.229,192.168.180.164,53,62825,17,"Ether / IP / UDP / DNS Ans ""b'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.'"" "
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http S"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 SA"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http A"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http PA / Raw"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http A / Raw"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http A / Raw"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http PA / Raw"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 A"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 A"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 A"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 PA / Raw"
203.119.169.168,192.168.180.164,80,14050,6,"Ether / IP / TCP 203.119.169.168:http > 192.168.180.164:14050 PA / Raw"
192.168.180.164,203.119.169.168,14050,80,6,"Ether / IP / TCP 192.168.180.164:14050 > 203.119.169.168:http A"
192.168.180.164,192.168.180.229,62825,53,17,"Ether / IP / UDP / DNS Qry ""b'api1.origin.com.'"" "
