data,flowmember,label,classes
"b'her / IP / UDP / DNS Qry ""b\'static-pcs-sdk-server.alibaba.com.\'""'",1,,
"b'her / IP / UDP / DNS Qry ""b\'wpad.www.tendawifi.com.\'""'",1,,
"b'her / IP / UDP / DNS Qry ""b\'shuc-pc-hunt.ksord.com.\'""'",1,,
"b'her / IP / UDP / DNS Ans ""b\'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.\'""'",2,,
b'her / IP / UDP / DNS Ans',2,,
"b'her / IP / UDP / DNS Ans ""110.249.194.78""'",2,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http F',4,,
b'her / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http R',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 S',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 PA / Ra',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 F',6,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',6,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',6,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',6,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',6,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http A / Ra',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http A / Ra',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http ',8,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http F',8,,
