srcip,dstip,sport,dport,proto,data
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 PA / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 A / Raw"
123.6.78.67,192.168.0.106,8080,7049,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7049 PA / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 A / Raw"
123.6.78.67,192.168.0.106,8080,7048,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7048 PA / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 A / Raw"
123.6.78.67,192.168.0.106,8080,7053,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7053 PA / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 A / Raw"
123.6.78.67,192.168.0.106,8080,7057,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7057 PA / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 A / Raw"
123.6.78.67,192.168.0.106,8080,7054,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7054 PA / Raw"
123.6.78.67,192.168.0.106,8080,7056,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7056 A / Raw"
123.6.78.67,192.168.0.106,8080,7056,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7056 A / Raw"
123.6.78.67,192.168.0.106,8080,7056,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7056 A / Raw"
123.6.78.67,192.168.0.106,8080,7056,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7056 PA / Raw"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
192.168.0.106,123.6.78.67,7049,8080,6,"Ether / IP / TCP 192.168.0.106:7049 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7048,8080,6,"Ether / IP / TCP 192.168.0.106:7048 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7053,8080,6,"Ether / IP / TCP 192.168.0.106:7053 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7057,8080,6,"Ether / IP / TCP 192.168.0.106:7057 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7057,8080,6,"Ether / IP / TCP 192.168.0.106:7057 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7054,8080,6,"Ether / IP / TCP 192.168.0.106:7054 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7056,8080,6,"Ether / IP / TCP 192.168.0.106:7056 > 123.6.78.67:8080 A"
192.168.0.106,123.6.78.67,7055,8080,6,"Ether / IP / TCP 192.168.0.106:7055 > 123.6.78.67:8080 A"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
123.6.78.67,192.168.0.106,8080,7055,6,"Ether / IP / TCP 123.6.78.67:8080 > 192.168.0.106:7055 A / Raw"
