data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http ',2,,
b'her / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http F',2,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 S',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 PA / Ra',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 F',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 ',4,,
b'her / IP / TCP 113.1.208.204:52933 > 192.168.0.106:14535 ',4,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http ',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http ',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http PA / Ra',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A / Ra',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A / Ra',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http PA / Ra',5,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http F',6,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 S',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 ',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 ',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 ',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 PA / Ra',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 F',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 ',8,,
"b'her / IP / UDP / DNS Qry ""b\'szextshort.weixin.qq.com.\'""'",8,,
"b'her / IP / UDP / DNS Qry ""b\'www.baidu.com.\'""'",8,,
"b'her / IP / UDP / DNS Qry ""b\'d.docs.live.net.\'""'",8,,
"b'her / IP / UDP / DNS Qry ""b\'www.msftconnecttest.com.\'""'",8,,
"b'her / IP / UDP / DNS Qry ""b\'ipv6.msftconnecttest.com.\'""'",8,,
