srcip,dstip,sport,dport,proto,data
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 SA"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 A"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 A"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 A"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 PA / Raw"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 FA"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6228,80,6,"Ether / IP / TCP 192.168.0.106:6228 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6228,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6228 A"
113.1.208.204,192.168.0.106,52933,14535,6,"Ether / IP / TCP 113.1.208.204:52933 > 192.168.0.106:14535 S"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 SA"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 A"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 A"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 A"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 PA / Raw"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 FA"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6229,80,6,"Ether / IP / TCP 192.168.0.106:6229 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6229,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6229 A"
192.168.0.106,192.168.0.1,65457,53,17,"Ether / IP / UDP / DNS Qry ""b'szextshort.weixin.qq.com.'"" "
192.168.0.1,192.168.0.106,53,65457,17,"Ether / IP / UDP / DNS Ans ""157.148.59.239"" "
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http S"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 SA"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http A"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http A / Raw"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http A / Raw"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http A / Raw"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http PA / Raw"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 A"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 A"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 A"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 A"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 PA / Raw"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 FA"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http A"
192.168.0.106,157.148.59.239,6230,80,6,"Ether / IP / TCP 192.168.0.106:6230 > 157.148.59.239:http FA"
157.148.59.239,192.168.0.106,80,6230,6,"Ether / IP / TCP 157.148.59.239:http > 192.168.0.106:6230 R"
192.168.0.106,60.28.198.197,6158,443,6,"Ether / IP / TCP 192.168.0.106:6158 > 60.28.198.197:https A / Raw"
60.28.198.197,192.168.0.106,443,6158,6,"Ether / IP / TCP 60.28.198.197:https > 192.168.0.106:6158 A"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 SA"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 A"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 A"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 A"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 PA / Raw"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 FA"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,6231,80,6,"Ether / IP / TCP 192.168.0.106:6231 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,6231,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:6231 A"
