data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http ',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http A / Ra',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http PA / Ra',1,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http ',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http F',2,,
b'her / IP / TCP 192.168.0.106:7489 > 116.132.235.204:http R',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 S',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 ',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 PA / Ra',3,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7489 F',3,,
b'her / IP / TCP 119.3.178.178:21111 > 192.168.0.106:8122 A / Paddin',4,,
b'her / IP / TCP 192.168.0.106:8122 > 119.3.178.178:21111 ',5,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http ',7,,
b'her / IP / TCP 192.168.0.106:7490 > 116.132.235.204:http F',7,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 S',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 ',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 ',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 ',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 PA / Ra',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 F',8,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7490 ',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http ',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http ',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http A / Ra',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http ',10,,
b'her / IP / TCP 192.168.0.106:7491 > 116.132.235.204:http F',10,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 S',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 ',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 ',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 ',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 PA / Ra',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 F',11,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7491 ',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http ',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http ',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A / Ra',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http A / Ra',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http PA / Ra',12,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http ',13,,
b'her / IP / TCP 192.168.0.106:7493 > 116.132.235.204:http F',13,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 S',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 ',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 ',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 ',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 PA / Ra',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 F',14,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7493 ',15,,
"b'her / IP / UDP / DNS Qry ""b\'dns.msftncsi.com.\'""'",15,,
"b'her / IP / UDP / DNS Qry ""b\'ipv6.msftconnecttest.com.\'""'",15,,
"b'her / IP / UDP / DNS Qry ""b\'wpad.www.tendawifi.com.\'""'",15,,
"b'her / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1""'",16,,
"b'her / IP / UDP / DNS Ans ""b\'v6ncsi.msedge.net.\'""'",16,,
b'her / IP / UDP / DNS Ans',16,,
"b'her / IP / UDP / DNS Qry ""b\'dns.msftncsi.com.\'""'",17,,
"b'her / IP / UDP / DNS Qry ""b\'ipv6.msftconnecttest.com.\'""'",17,,
"b'her / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1""'",18,,
"b'her / IP / UDP / DNS Ans ""b\'v6ncsi.msedge.net.\'""'",18,,
"b'her / IP / UDP / DNS Qry ""b\'ipv6.msftconnecttest.com.\'""'",19,,
"b'her / IP / UDP / DNS Qry ""b\'www.baidu.com.\'""'",19,,
"b'her / IP / UDP / DNS Qry ""b\'www.msftconnecttest.com.\'""'",20,,
"b'her / IP / UDP / DNS Qry ""b\'wpad.www.tendawifi.com.\'""'",20,,
"b'her / IP / UDP / DNS Ans ""b\'v6ncsi.msedge.net.\'""'",21,,
"b'her / IP / UDP / DNS Ans ""110.242.68.3""'",21,,
"b'her / IP / UDP / DNS Ans ""b\'ncsi-geo.trafficmanager.net.\'""'",22,,
b'her / IP / UDP / DNS Ans',22,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http ',23,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http ',23,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http PA / Ra',23,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http F',23,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http ',23,,
b'her / IP / TCP 192.168.0.106:7494 > 104.109.128.195:http F',23,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http ',24,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http ',24,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http PA / Ra',24,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http ',24,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http F',24,,
b'her / IP / TCP 192.168.0.106:7495 > 104.109.128.195:http F',24,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 S',25,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 ',25,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 PA / Ra',25,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 F',25,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7495 ',25,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 S',26,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 ',26,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 PA / Ra',26,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 F',26,,
b'her / IP / TCP 104.109.128.195:http > 192.168.0.106:7494 ',26,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',27,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',27,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',27,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http ',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http ',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http PA / Ra',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A / Ra',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http A / Ra',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http PA / Ra',28,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http ',29,,
b'her / IP / TCP 192.168.0.106:7496 > 116.132.235.204:http F',29,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 S',30,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 ',30,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 ',30,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 PA / Ra',30,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 F',30,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7496 ',30,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http ',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http ',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http PA / Ra',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A / Ra',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http A / Ra',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http PA / Ra',31,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http ',32,,
b'her / IP / TCP 192.168.0.106:7497 > 116.132.235.204:http F',32,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 S',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 ',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 ',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 ',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 PA / Ra',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 F',33,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7497 ',34,,
b'her / IP / TCP 192.168.0.106:1025 > 20.198.162.78:https PA / Ra',34,,
b'her / IP / TCP 192.168.0.106:1025 > 20.198.162.78:https ',34,,
b'her / IP / TCP 20.198.162.78:https > 192.168.0.106:1025 PA / Ra',35,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http ',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http ',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http PA / Ra',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A / Ra',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http A / Ra',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http PA / Ra',36,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http ',37,,
b'her / IP / TCP 192.168.0.106:7499 > 116.132.235.204:http F',37,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 S',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 ',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 ',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 ',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 PA / Ra',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 F',38,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7499 ',39,,
b'her / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http ',39,,
b'her / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http ',39,,
b'her / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http F',39,,
b'her / IP / TCP 192.168.0.106:7500 > 110.242.68.3:http ',39,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 S',40,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 ',40,,
b'her / IP / TCP 110.242.68.3:http > 192.168.0.106:7500 F',40,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http ',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http ',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http PA / Ra',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A / Ra',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http A / Ra',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http PA / Ra',41,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http ',42,,
b'her / IP / TCP 192.168.0.106:7501 > 116.132.235.204:http F',42,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 S',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 ',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 ',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 ',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 PA / Ra',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 F',43,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7501 ',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http ',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http ',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http PA / Ra',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http A / Ra',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http A / Ra',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http PA / Ra',44,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http ',45,,
b'her / IP / TCP 192.168.0.106:7503 > 116.132.235.204:http F',45,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 S',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 ',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 ',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 ',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 PA / Ra',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 F',46,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7503 ',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http ',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http ',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http PA / Ra',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http A / Ra',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http A / Ra',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http PA / Ra',47,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http ',48,,
b'her / IP / TCP 192.168.0.106:7504 > 116.132.235.204:http F',48,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 S',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 ',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 ',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 ',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 PA / Ra',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 F',49,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7504 ',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http ',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http ',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http PA / Ra',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http A / Ra',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http A / Ra',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http PA / Ra',50,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http ',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http F',51,,
b'her / IP / TCP 192.168.0.106:7505 > 116.132.235.204:http R',52,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7505 S',52,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7505 ',52,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7505 ',52,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7505 ',52,,
b'her / IP / TCP 116.132.235.204:http > 192.168.0.106:7505 PA / Ra',52,,
