data,flowmember,label,classes
b'her / IP / TCP 140.82.114.26:https > 192.168.0.106:7752 PA / Ra',1,,
b'her / IP / TCP 140.82.114.26:https > 192.168.0.106:7752 A / Paddin',1,,
b'her / IP / TCP 192.168.0.106:7752 > 140.82.114.26:https PA / Ra',2,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:4736 > 116.132.235.228:http F',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 S',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 PA / Ra',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 F',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4736 ',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http ',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:4737 > 116.132.235.228:http F',7,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 S',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 ',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 ',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 ',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 PA / Ra',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 F',8,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4737 ',9,,
b'her / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:4429 > 60.29.237.214:14000 ',9,,
b'her / IP / TCP 60.29.237.214:14000 > 192.168.0.106:4429 PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http A / Ra',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http A / Ra',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http ',12,,
b'her / IP / TCP 192.168.0.106:4738 > 116.132.235.228:http F',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 S',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 PA / Ra',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 F',14,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:4738 ',14,,
"b'her / IP / UDP / DNS Qry ""b\'ctldl.windowsupdate.com.\'""'",15,,
"b'her / IP / UDP / DNS Ans ""b\'wu-bg-shim.trafficmanager.net.\'""'",16,,
b'her / IP / TCP 192.168.0.106:4739 > 58.20.179.53:http ',17,,
b'her / IP / TCP 192.168.0.106:4739 > 58.20.179.53:http ',17,,
