srcip,dstip,sport,dport,proto,data
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 A / Raw"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 A / Raw"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 A / Raw"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 A / Raw"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 A / Raw"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 PA / Raw"
192.168.0.106,42.236.89.187,7704,443,6,"Ether / IP / TCP 192.168.0.106:7704 > 42.236.89.187:https A"
192.168.0.106,42.236.89.187,7704,443,6,"Ether / IP / TCP 192.168.0.106:7704 > 42.236.89.187:https PA / Raw"
192.168.0.106,42.236.89.187,7704,443,6,"Ether / IP / TCP 192.168.0.106:7704 > 42.236.89.187:https FA"
42.236.89.187,192.168.0.106,443,7704,6,"Ether / IP / TCP 42.236.89.187:https > 192.168.0.106:7704 FA"
192.168.0.106,42.236.89.187,7704,443,6,"Ether / IP / TCP 192.168.0.106:7704 > 42.236.89.187:https A"
192.168.0.106,157.255.191.46,7705,80,6,"Ether / IP / TCP 192.168.0.106:7705 > 157.255.191.46:http S"
58.223.1.234,192.168.0.106,8080,7647,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7647 A / Padding"
58.223.1.234,192.168.0.106,8080,7647,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7647 A / Padding"
58.223.1.234,192.168.0.106,8080,7647,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7647 PA / Raw"
58.223.1.234,192.168.0.106,8080,7647,6,"Ether / IP / TCP 58.223.1.234:8080 > 192.168.0.106:7647 FA"
192.168.0.106,58.223.1.234,7647,8080,6,"Ether / IP / TCP 192.168.0.106:7647 > 58.223.1.234:8080 RA"
157.255.191.46,192.168.0.106,80,7701,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7701 A / Raw"
157.255.191.46,192.168.0.106,80,7701,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7701 PA / Raw"
157.255.191.46,192.168.0.106,80,7701,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7701 FA"
192.168.0.106,157.255.191.46,7701,80,6,"Ether / IP / TCP 192.168.0.106:7701 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7701,80,6,"Ether / IP / TCP 192.168.0.106:7701 > 157.255.191.46:http FA"
192.168.0.106,157.255.191.89,14800,8080,6,"Ether / IP / TCP 192.168.0.106:14800 > 157.255.191.89:8080 A"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http S"
192.168.0.106,157.255.191.46,7707,80,6,"Ether / IP / TCP 192.168.0.106:7707 > 157.255.191.46:http S"
157.255.191.46,192.168.0.106,80,7701,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7701 R"
157.255.191.46,192.168.0.106,80,7705,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7705 SA"
192.168.0.106,157.255.191.46,7705,80,6,"Ether / IP / TCP 192.168.0.106:7705 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7705,80,6,"Ether / IP / TCP 192.168.0.106:7705 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 SA"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,7707,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7707 SA"
192.168.0.106,157.255.191.46,7707,80,6,"Ether / IP / TCP 192.168.0.106:7707 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7707,80,6,"Ether / IP / TCP 192.168.0.106:7707 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,7705,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7705 A"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 A"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http S"
157.255.191.46,192.168.0.106,80,7707,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7707 A"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 SA"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A"
157.255.191.46,192.168.0.106,80,7705,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7705 PA / Raw"
157.255.191.46,192.168.0.106,80,7705,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7705 FA"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A"
192.168.0.106,157.255.191.46,7705,80,6,"Ether / IP / TCP 192.168.0.106:7705 > 157.255.191.46:http A"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A"
192.168.0.106,157.255.191.46,7705,80,6,"Ether / IP / TCP 192.168.0.106:7705 > 157.255.191.46:http FA"
157.255.191.46,192.168.0.106,80,7707,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7707 PA / Raw"
157.255.191.46,192.168.0.106,80,7707,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7707 FA"
192.168.0.106,157.255.191.46,7707,80,6,"Ether / IP / TCP 192.168.0.106:7707 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7707,80,6,"Ether / IP / TCP 192.168.0.106:7707 > 157.255.191.46:http FA"
157.255.191.46,192.168.0.106,80,7705,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7705 R"
192.168.0.106,192.168.0.1,60618,53,17,"Ether / IP / UDP / DNS Qry ""b'dns.msftncsi.com.'"" "
192.168.0.106,157.255.191.46,7698,80,6,"Ether / IP / TCP 192.168.0.106:7698 > 157.255.191.46:http FA"
192.168.0.1,192.168.0.106,53,60618,17,"Ether / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1"" "
192.168.0.106,192.168.0.1,13404,53,6,"Ether / IP / TCP 192.168.0.106:13404 > 192.168.0.1:domain S"
157.255.191.46,192.168.0.106,80,7707,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7707 A"
192.168.0.1,192.168.0.106,53,13404,6,"Ether / IP / TCP 192.168.0.1:domain > 192.168.0.106:13404 RA"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 A / Raw"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 PA / Raw"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 FA"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http FA"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http S"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 SA"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http A"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http PA / Raw"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 A"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 A / Raw"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 PA / Raw"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 FA"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,7708,80,6,"Ether / IP / TCP 192.168.0.106:7708 > 157.255.191.46:http FA"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 A / Raw"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 A / Raw"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 PA / Raw"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http A"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http A"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http FA"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http S"
157.255.191.46,192.168.0.106,80,7708,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7708 R"
157.255.4.143,192.168.0.106,80,13405,6,"Ether / IP / TCP 157.255.4.143:http > 192.168.0.106:13405 FA"
192.168.0.106,157.255.4.143,13405,80,6,"Ether / IP / TCP 192.168.0.106:13405 > 157.255.4.143:http A"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 SA"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
192.168.0.106,157.255.191.46,7706,80,6,"Ether / IP / TCP 192.168.0.106:7706 > 157.255.191.46:http FA"
157.255.191.46,192.168.0.106,80,7706,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:7706 R"
192.168.0.106,157.255.191.46,7678,80,6,"Ether / IP / TCP 192.168.0.106:7678 > 157.255.191.46:http FA"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A / Raw"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 PA / Raw"
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 FA"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,13406,80,6,"Ether / IP / TCP 192.168.0.106:13406 > 157.255.191.46:http FA"
192.168.0.106,192.168.0.1,13404,53,6,"Ether / IP / TCP 192.168.0.106:13404 > 192.168.0.1:domain S"
192.168.0.1,192.168.0.106,53,13404,6,"Ether / IP / TCP 192.168.0.1:domain > 192.168.0.106:13404 RA"
192.168.0.106,192.168.0.1,50337,53,17,"Ether / IP / UDP / DNS Qry ""b'dns.msftncsi.com.'"" "
157.255.191.46,192.168.0.106,80,13406,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13406 A"
192.168.0.1,192.168.0.106,53,50337,17,"Ether / IP / UDP / DNS Ans ""fd3e:4f5a:5b81::1"" "
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http S"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 SA"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A / Raw"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http PA / Raw"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 A / Raw"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 PA / Raw"
157.255.191.46,192.168.0.106,80,13407,6,"Ether / IP / TCP 157.255.191.46:http > 192.168.0.106:13407 FA"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http A"
192.168.0.106,157.255.191.46,13407,80,6,"Ether / IP / TCP 192.168.0.106:13407 > 157.255.191.46:http FA"
192.168.0.106,116.132.235.204,13408,80,6,"Ether / IP / TCP 192.168.0.106:13408 > 116.132.235.204:http S"
