srcip,dstip,sport,dport,proto,data
192.168.0.106,192.168.0.1,55510,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.0.1,192.168.0.106,53,55510,17,"Ether / IP / UDP / DNS Ans ""116.132.235.228"" "
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 SA"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 A"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 A"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 A"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 PA / Raw"
116.132.235.228,192.168.0.106,80,14295,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14295 FA"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,14295,80,6,"Ether / IP / TCP 192.168.0.106:14295 > 116.132.235.228:http FA"
