srcip,dstip,sport,dport,proto,data
192.168.0.106,192.168.0.1,49842,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.0.1,192.168.0.106,53,49842,17,"Ether / IP / UDP / DNS Ans ""116.132.235.204"" "
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 SA"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 A"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 A"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 A"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 PA / Raw"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 FA"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,14913,80,6,"Ether / IP / TCP 192.168.0.106:14913 > 116.132.235.204:http FA"
116.132.235.204,192.168.0.106,80,14913,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14913 A"
192.168.0.106,192.168.0.1,49842,53,17,"Ether / IP / UDP / DNS Qry ""b'wpad.www.tendawifi.com.'"" "
192.168.0.1,192.168.0.106,53,49842,17,"Ether / IP / UDP / DNS Ans "
192.168.0.106,13.107.43.12,12204,443,6,"Ether / IP / TCP 192.168.0.106:12204 > 13.107.43.12:https PA / Raw"
192.168.0.106,13.107.43.12,12204,443,6,"Ether / IP / TCP 192.168.0.106:12204 > 13.107.43.12:https PA / Raw"
13.107.43.12,192.168.0.106,443,12204,6,"Ether / IP / TCP 13.107.43.12:https > 192.168.0.106:12204 A / Padding"
13.107.43.12,192.168.0.106,443,12204,6,"Ether / IP / TCP 13.107.43.12:https > 192.168.0.106:12204 A / Padding"
13.107.43.12,192.168.0.106,443,12204,6,"Ether / IP / TCP 13.107.43.12:https > 192.168.0.106:12204 PA / Raw"
13.107.43.12,192.168.0.106,443,12204,6,"Ether / IP / TCP 13.107.43.12:https > 192.168.0.106:12204 PA / Raw"
192.168.0.106,13.107.43.12,12204,443,6,"Ether / IP / TCP 192.168.0.106:12204 > 13.107.43.12:https A"
192.168.0.106,192.168.0.1,49842,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.0.1,192.168.0.106,53,49842,17,"Ether / IP / UDP / DNS Ans ""116.132.235.204"" "
