data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:7995 > 123.6.77.65:https A / Ra',1,,
b'her / IP / TCP 123.6.77.65:https > 192.168.0.106:7995 ',2,,
b'her / IP / TCP 192.168.0.106:8000 > 20.190.163.18:https A / Ra',3,,
b'her / IP / TCP 192.168.0.106:7997 > 23.56.170.113:https A / Ra',4,,
b'her / IP / TCP 20.190.163.18:https > 192.168.0.106:8000 ',5,,
b'her / IP / TCP 23.56.170.113:https > 192.168.0.106:7997 ',6,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http ',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http A / Ra',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http A / Ra',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http PA / Ra',7,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http ',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http F',8,,
b'her / IP / TCP 192.168.0.106:8136 > 116.132.235.228:http R',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 S',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 ',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 ',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 ',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 PA / Ra',9,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8136 F',9,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http ',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http A / Ra',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http A / Ra',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http F',11,,
b'her / IP / TCP 192.168.0.106:8137 > 116.132.235.228:http R',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 S',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 ',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 PA / Ra',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8137 F',13,,
b'her / IP / TCP 192.168.0.106:8001 > 20.135.6.9:https A / Ra',13,,
b'her / IP / TCP 20.135.6.9:https > 192.168.0.106:8001 ',14,,
b'her / IP / TCP 192.168.0.106:7990 > 61.163.9.171:https A / Ra',15,,
b'her / IP / TCP 61.163.9.171:https > 192.168.0.106:7990 ',16,,
b'her / IP / TCP 192.168.0.106:8010 > 120.46.209.149:https A / Ra',17,,
b'her / IP / TCP 192.168.0.106:8011 > 120.46.209.149:https A / Ra',18,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:8010 ',19,,
b'her / IP / TCP 192.168.0.106:8013 > 120.46.209.149:https A / Ra',20,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:8011 ',21,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:8013 ',22,,
b'her / IP / TCP 192.168.0.106:8021 > 123.6.10.201:https A / Ra',23,,
b'her / IP / TCP 192.168.0.106:8009 > 42.81.62.31:https A / Ra',24,,
b'her / IP / TCP 123.6.10.201:https > 192.168.0.106:8021 ',25,,
b'her / IP / TCP 42.81.62.31:https > 192.168.0.106:8009 ',26,,
b'her / IP / TCP 192.168.0.106:8004 > 42.81.62.31:https A / Ra',27,,
b'her / IP / TCP 42.81.62.31:https > 192.168.0.106:8004 ',28,,
b'her / IP / TCP 192.168.0.106:8019 > 42.81.62.31:https A / Ra',29,,
b'her / IP / TCP 42.81.62.31:https > 192.168.0.106:8019 ',30,,
b'her / IP / TCP 192.168.0.106:7993 > 61.163.9.167:https A / Ra',31,,
b'her / IP / TCP 192.168.0.106:8007 > 115.54.20.38:https A / Ra',32,,
b'her / IP / TCP 61.163.9.167:https > 192.168.0.106:7993 ',33,,
b'her / IP / TCP 115.54.20.38:https > 192.168.0.106:8007 ',34,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http ',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http ',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http PA / Ra',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http A / Ra',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http A / Ra',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http PA / Ra',35,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http ',36,,
b'her / IP / TCP 192.168.0.106:8138 > 116.132.235.228:http F',36,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 S',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 ',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 ',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 ',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 PA / Ra',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 F',37,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8138 ',38,,
b'her / IP / TCP 192.168.0.106:8014 > 120.46.209.149:https A / Ra',38,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:8014 ',39,,
b'her / IP / TCP 192.168.0.106:8006 > 120.46.209.149:https A / Ra',40,,
b'her / IP / TCP 120.46.209.149:https > 192.168.0.106:8006 ',41,,
b'her / IP / TCP 192.168.0.106:8016 > 115.54.19.6:https A / Ra',42,,
b'her / IP / TCP 115.54.19.6:https > 192.168.0.106:8016 ',43,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',44,,
b'her / IP / TCP 192.168.0.106:7988 > 202.89.233.100:https A / Ra',45,,
b'her / IP / TCP 202.89.233.100:https > 192.168.0.106:7988 ',46,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http ',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http ',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http PA / Ra',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http A / Ra',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http A / Ra',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http PA / Ra',47,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http ',48,,
b'her / IP / TCP 192.168.0.106:8139 > 116.132.235.228:http F',48,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 S',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 ',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 ',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 ',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 PA / Ra',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 F',49,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8139 ',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http ',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http ',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http PA / Ra',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http A / Ra',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http A / Ra',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http PA / Ra',50,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http ',51,,
b'her / IP / TCP 192.168.0.106:8140 > 116.132.235.228:http F',51,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 S',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 ',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 ',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 ',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 PA / Ra',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 F',52,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:8140 ',53,,
b'her / IP / TCP 192.168.0.106:8017 > 42.81.62.31:https A / Ra',53,,
b'her / IP / TCP 192.168.0.106:8141 > 116.132.235.228:http ',54,,
b'her / IP / TCP 192.168.0.106:8141 > 116.132.235.228:http ',54,,
b'her / IP / TCP 192.168.0.106:8141 > 116.132.235.228:http PA / Ra',54,,
b'her / IP / TCP 192.168.0.106:8141 > 116.132.235.228:http A / Ra',54,,
b'her / IP / TCP 192.168.0.106:8141 > 116.132.235.228:http A / Ra',54,,
