srcip,dstip,sport,dport,proto,data
192.168.0.106,119.3.178.178,6806,21113,6,"Ether / IP / TCP 192.168.0.106:6806 > 119.3.178.178:21113 A / Raw"
119.3.178.178,192.168.0.106,21113,6806,6,"Ether / IP / TCP 119.3.178.178:21113 > 192.168.0.106:6806 A"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http S"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 SA"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http PA / Raw"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http A / Raw"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http PA / Raw"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 A"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 A"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 A"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 PA / Raw"
116.132.235.204,192.168.0.106,80,14695,6,"Ether / IP / TCP 116.132.235.204:http > 192.168.0.106:14695 FA"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http A"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http FA"
192.168.0.106,116.132.235.204,14695,80,6,"Ether / IP / TCP 192.168.0.106:14695 > 116.132.235.204:http FA"
192.168.0.106,110.242.68.3,14696,80,6,"Ether / IP / TCP 192.168.0.106:14696 > 110.242.68.3:http S"
110.242.68.3,192.168.0.106,80,14696,6,"Ether / IP / TCP 110.242.68.3:http > 192.168.0.106:14696 SA"
