data,flowmember,label,classes
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 PA / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 A / Ra',1,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 PA / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 A / Ra',2,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 PA / Ra',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 F',3,,
b'her / IP / TCP 59.38.123.207:45902 > 192.168.0.106:10102 ',3,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 ',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 ',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 A / Ra',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 PA / Ra',4,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 ',5,,
b'her / IP / TCP 192.168.0.106:10102 > 59.38.123.207:45902 F',5,,
b'her / IP / TCP 192.168.0.106:10103 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:10103 > 116.132.235.204:http ',6,,
b'her / IP / TCP 192.168.0.106:10103 > 116.132.235.204:http PA / Ra',6,,
b'her / IP / TCP 192.168.0.106:10103 > 116.132.235.204:http A / Ra',6,,
b'her / IP / TCP 192.168.0.106:10103 > 116.132.235.204:http A / Ra',6,,
