srcip,dstip,sport,dport,proto,data
192.168.0.106,192.168.0.1,63713,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.0.1,192.168.0.106,53,63713,17,"Ether / IP / UDP / DNS Ans ""b'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.'"" "
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 SA"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 A"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 A"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 A"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 A"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 PA / Raw"
116.132.235.228,192.168.0.106,80,4307,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4307 FA"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http FA"
192.168.192.1,192.168.192.2,137,137,17,"Ether / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Raw"
192.168.0.106,116.132.235.228,4307,80,6,"Ether / IP / TCP 192.168.0.106:4307 > 116.132.235.228:http FA"
192.168.0.106,116.132.235.228,4308,80,6,"Ether / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,4308,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:4308 SA"
192.168.0.106,116.132.235.228,4308,80,6,"Ether / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,4308,80,6,"Ether / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,4308,80,6,"Ether / IP / TCP 192.168.0.106:4308 > 116.132.235.228:http A / Raw"
