data,flowmember,label,classes
b'her / IP / TCP 192.168.0.106:5624 > 192.168.0.1:domain ',1,,
b'her / IP / TCP 192.168.0.106:5624 > 192.168.0.1:domain ',1,,
b'her / IP / TCP 192.168.0.106:5624 > 192.168.0.1:domain ',1,,
b'her / IP / TCP 192.168.0.106:5624 > 192.168.0.1:domain ',1,,
b'her / IP / TCP 192.168.0.106:5625 > 192.168.0.1:domain ',2,,
b'her / IP / TCP 192.168.0.106:5625 > 192.168.0.1:domain ',2,,
b'her / IP / TCP 192.168.0.106:5625 > 192.168.0.1:domain ',2,,
b'her / IP / TCP 192.168.0.106:5625 > 192.168.0.1:domain ',2,,
b'her / IP / TCP 192.168.0.106:5614 > 192.168.0.1:domain ',3,,
b'her / IP / TCP 192.168.0.106:5614 > 192.168.0.1:domain ',3,,
b'her / IP / TCP 192.168.0.106:5614 > 192.168.0.1:domain ',3,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5624 R',4,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5624 R',4,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5624 R',4,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5624 R',4,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5625 R',5,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5625 R',5,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5625 R',5,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5625 R',5,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5614 R',6,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5614 R',6,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5614 R',6,,
b'her / IP / TCP 192.168.0.106:5615 > 192.168.0.1:domain ',7,,
b'her / IP / TCP 192.168.0.106:5615 > 192.168.0.1:domain ',7,,
b'her / IP / TCP 192.168.0.106:5615 > 192.168.0.1:domain ',7,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5615 R',8,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5615 R',8,,
b'her / IP / TCP 192.168.0.1:domain > 192.168.0.106:5615 R',8,,
b'her / IP / TCP 192.168.0.106:7120 > 40.74.98.192:https PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:7120 > 40.74.98.192:https PA / Ra',9,,
b'her / IP / TCP 192.168.0.106:7120 > 40.74.98.192:https ',9,,
b'her / IP / TCP 40.74.98.192:https > 192.168.0.106:7120 A / Paddin',10,,
b'her / IP / TCP 40.74.98.192:https > 192.168.0.106:7120 PA / Ra',10,,
b'her / IP / TCP 40.74.98.192:https > 192.168.0.106:7120 PA / Ra',10,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http ',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http A / Ra',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http A / Ra',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http PA / Ra',11,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http ',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 192.168.0.106:5626 > 116.132.235.228:http F',12,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 S',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 ',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 PA / Ra',13,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5626 F',13,,
b'her / IP / TCP 192.168.0.106:5613 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:5613 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:5613 > 116.132.235.228:http F',14,,
b'her / IP / TCP 192.168.0.106:11670 > 116.130.230.27:https PA / Ra',15,,
b'her / IP / TCP 192.168.0.106:11670 > 116.130.230.27:https ',15,,
b'her / IP / TCP 192.168.0.106:11670 > 116.130.230.27:https ',15,,
b'her / IP / TCP 116.130.230.27:https > 192.168.0.106:11670 PA / Ra',16,,
b'her / IP / TCP 116.130.230.27:https > 192.168.0.106:11670 PA / Ra',16,,
b'her / IP / TCP 192.168.0.106:5601 > 116.132.235.228:http F',17,,
b'her / IP / TCP 192.168.0.106:5601 > 116.132.235.228:http R',17,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http ',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http ',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http A / Ra',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http A / Ra',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http PA / Ra',18,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http ',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 192.168.0.106:5627 > 116.132.235.228:http F',19,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 S',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 ',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 ',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 ',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 PA / Ra',20,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:5627 F',20,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http ',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http A / Ra',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http PA / Ra',21,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http ',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
b'her / IP / TCP 192.168.0.106:5628 > 116.132.235.228:http F',22,,
