srcip,dstip,sport,dport,proto,data
106.55.58.216,192.168.1.116,8000,4022,17,"Ether / IP / UDP 106.55.58.216:8000 > 192.168.1.116:4022 / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http A / Raw"
192.168.1.116,203.119.169.227,6427,80,6,"Ether / IP / TCP 192.168.1.116:6427 > 203.119.169.227:http PA / Raw"
192.168.1.1,255.255.255.255,1024,5001,17,"Ether / IP / UDP 192.168.1.1:1024 > 255.255.255.255:5001 / Raw"
203.119.169.227,192.168.1.116,80,6427,6,"Ether / IP / TCP 203.119.169.227:http > 192.168.1.116:6427 A"
